strategy,fuel_consumed_kg,average_fuel_rate_kg_h,battery_ohmic_loss_kwh,recirculated_round_trip_loss_kwh,engine_off_fraction,restart_count,restart_count_status,initial_soc,terminal_soc,minimum_soc,maximum_soc,battery_energy_change_kwh,internal_ledger_energy_change_kwh,euler_energy_residual_kwh,target_battery_energy_change_kwh,terminal_energy_shortfall_kwh,battery_mode,battery_capacity_kwh,i_charge_max_a,i_discharge_max_a,terminal_voltage_min_v,terminal_voltage_max_v,q_nominal_ah,timestep_s,constraint_encounters,normalisation_method,common_initial_soc,pi_target_residual_kwh,pi_to_continuous_gap_kg,pi_to_continuous_gap_fraction,pi_to_ideal_cycle_gap_kg,pi_to_ideal_cycle_gap_fraction,pi_nearer_strategy,energy_normalisation_achieved,fuel_gap_status
continuous,188.7969753358332,18.132800011127117,0.0,0.0,0.0,0,defined; engine remains running,0.559342988331593,0.559342988331593,0.559342988331593,0.559342988331593,0.0,0.0,0.0,-4.689742503060938,4.689742503060938,legacy,10.0,,,,,,60.0,[],fixed actual post-crossing initial SoC; measured legacy 60 s battery-energy change is the common target; unchanged strategies report terminal-energy shortfall,0.559342988331593,0.0,25.1899601945085,0.13342353684268748,-3.0896921679972422,-0.018534812221959598,ideal_analytical_cycle,False,not energy-normalised: continuous and ideal cycling keep the battery neutral and therefore miss the negative common target
ideal_analytical_cycle,166.69670730932194,16.010203822262344,1.0703759301240496,1.070375930124058,0.2770255605885833,,undefined; duty fraction has no cycle period or SoC band,0.559342988331593,0.559342988331593,0.559342988331593,0.559342988331593,0.0,0.0,-0.0,-4.689742503060938,4.689742503060938,legacy,10.0,,,,,,60.0,"[{""direction"": ""charge"", ""first_time_s"": 17640.0, ""limit"": ""legacy_power"", ""maximum_power_kw"": 10.0, ""maximum_soc"": 0.559342988331593, ""minimum_power_kw"": 10.0, ""minimum_soc"": 0.559342988331593, ""timestep_count"": 625}]",fixed actual post-crossing initial SoC; measured legacy 60 s battery-energy change is the common target; unchanged strategies report terminal-energy shortfall,0.559342988331593,0.0,25.1899601945085,0.13342353684268748,-3.0896921679972422,-0.018534812221959598,ideal_analytical_cycle,False,not energy-normalised: continuous and ideal cycling keep the battery neutral and therefore miss the negative common target
pi_ecms,163.6070151413247,15.713457700781413,1.4514246590760553,1.376781220167473,0.2897324666859638,174,defined from logged-step OFF-to-ON transitions,0.559342988331593,0.06367471452871735,0.05000527247581649,0.559342988331593,-4.689742503060938,-5.536301371512536,0.8465588684515986,-4.689742503060938,0.0,legacy,10.0,,,,,,60.0,"[{""direction"": ""charge"", ""first_time_s"": 18120.0, ""limit"": ""legacy_power"", ""maximum_power_kw"": 10.000000000000119, ""maximum_soc"": 0.13918040996958428, ""minimum_power_kw"": 9.999999999999902, ""minimum_soc"": 0.05000527247581649, ""timestep_count"": 444}]",fixed actual post-crossing initial SoC; measured legacy 60 s battery-energy change is the common target; unchanged strategies report terminal-energy shortfall,0.559342988331593,0.0,25.1899601945085,0.13342353684268748,-3.0896921679972422,-0.018534812221959598,ideal_analytical_cycle,False,not energy-normalised: continuous and ideal cycling keep the battery neutral and therefore miss the negative common target
continuous,188.79697533583325,18.13280001112712,0.0,0.0,0.0,0,defined; engine remains running,0.559342988331593,0.559342988331593,0.559342988331593,0.559342988331593,0.0,0.0,0.0,-4.689742503060938,4.689742503060938,legacy,10.0,,,,,,30.0,[],fixed actual post-crossing initial SoC; measured legacy 60 s battery-energy change is the common target; unchanged strategies report terminal-energy shortfall,0.559342988331593,0.016480088985606045,24.91030376345367,0.13194228201560465,-2.810035736942808,-0.016857176019250974,ideal_analytical_cycle,False,not energy-normalised: continuous and ideal cycling keep the battery neutral and therefore miss the negative common target
ideal_analytical_cycle,166.6967073093224,16.01020382226239,1.0703759301240496,1.070375930124058,0.27702556058858335,,undefined; duty fraction has no cycle period or SoC band,0.559342988331593,0.559342988331593,0.559342988331593,0.559342988331593,0.0,0.0,-0.0,-4.689742503060938,4.689742503060938,legacy,10.0,,,,,,30.0,"[{""direction"": ""charge"", ""first_time_s"": 17610.0, ""limit"": ""legacy_power"", ""maximum_power_kw"": 10.0, ""maximum_soc"": 0.559342988331593, ""minimum_power_kw"": 10.0, ""minimum_soc"": 0.559342988331593, ""timestep_count"": 1250}]",fixed actual post-crossing initial SoC; measured legacy 60 s battery-energy change is the common target; unchanged strategies report terminal-energy shortfall,0.559342988331593,0.016480088985606045,24.91030376345367,0.13194228201560465,-2.810035736942808,-0.016857176019250974,ideal_analytical_cycle,False,not energy-normalised: continuous and ideal cycling keep the battery neutral and therefore miss the negative common target
pi_ecms,163.88667157237958,15.740316998326426,1.458212422049633,1.3887906029576413,0.2884746881662357,345,defined from logged-step OFF-to-ON transitions,0.559342988331593,0.06555685296041158,0.05007970331884172,0.559342988331593,-4.673262414075332,-5.098417132772525,0.42515471869719335,-4.689742503060938,0.016480088985606045,legacy,10.0,,,,,,30.0,"[{""direction"": ""charge"", ""first_time_s"": 18090.0, ""limit"": ""legacy_power"", ""maximum_power_kw"": 10.00000000000011, ""maximum_soc"": 0.14646928483712623, ""minimum_power_kw"": 9.999999999999888, ""minimum_soc"": 0.05007970331884172, ""timestep_count"": 889}]",fixed actual post-crossing initial SoC; measured legacy 60 s battery-energy change is the common target; unchanged strategies report terminal-energy shortfall,0.559342988331593,0.016480088985606045,24.91030376345367,0.13194228201560465,-2.810035736942808,-0.016857176019250974,ideal_analytical_cycle,False,not energy-normalised: continuous and ideal cycling keep the battery neutral and therefore miss the negative common target
continuous,188.79697533583297,18.13280001112709,0.0,0.0,0.0,0,defined; engine remains running,0.559342988331593,0.559342988331593,0.559342988331593,0.559342988331593,0.0,0.0,0.0,-4.689742503060938,4.689742503060938,legacy,10.0,,,,,,15.0,[],fixed actual post-crossing initial SoC; measured legacy 60 s battery-energy change is the common target; unchanged strategies report terminal-energy shortfall,0.559342988331593,-0.06215004207619934,24.828331122705634,0.13150809793716706,-2.7280630961944894,-0.016365428809174406,ideal_analytical_cycle,False,not energy-normalised: continuous and ideal cycling keep the battery neutral and therefore miss the negative common target
ideal_analytical_cycle,166.69670730932182,16.010203822262334,1.0703759301240496,1.070375930124058,0.27702556058858163,,undefined; duty fraction has no cycle period or SoC band,0.559342988331593,0.559342988331593,0.559342988331593,0.559342988331593,0.0,0.0,-0.0,-4.689742503060938,4.689742503060938,legacy,10.0,,,,,,15.0,"[{""direction"": ""charge"", ""first_time_s"": 17595.0, ""limit"": ""legacy_power"", ""maximum_power_kw"": 10.0, ""maximum_soc"": 0.559342988331593, ""minimum_power_kw"": 10.0, ""minimum_soc"": 0.559342988331593, ""timestep_count"": 2499}]",fixed actual post-crossing initial SoC; measured legacy 60 s battery-energy change is the common target; unchanged strategies report terminal-energy shortfall,0.559342988331593,-0.06215004207619934,24.828331122705634,0.13150809793716706,-2.7280630961944894,-0.016365428809174406,ideal_analytical_cycle,False,not energy-normalised: continuous and ideal cycling keep the battery neutral and therefore miss the negative common target
pi_ecms,163.96864421312733,15.748189971388728,1.460218721969465,1.3923760700690337,0.28813173482582516,689,defined from logged-step OFF-to-ON transitions,0.559342988331593,0.056566329558264024,0.050026436441291455,0.559342988331593,-4.751892545137137,-4.964837154901645,0.21294460976450758,-4.689742503060938,-0.06215004207619934,legacy,10.0,,,,,,15.0,"[{""direction"": ""charge"", ""first_time_s"": 18075.0, ""limit"": ""legacy_power"", ""maximum_power_kw"": 10.00000000000012, ""maximum_soc"": 0.14555375782302896, ""minimum_power_kw"": 9.999999999999885, ""minimum_soc"": 0.050026436441291455, ""timestep_count"": 1779}]",fixed actual post-crossing initial SoC; measured legacy 60 s battery-energy change is the common target; unchanged strategies report terminal-energy shortfall,0.559342988331593,-0.06215004207619934,24.828331122705634,0.13150809793716706,-2.7280630961944894,-0.016365428809174406,ideal_analytical_cycle,False,not energy-normalised: continuous and ideal cycling keep the battery neutral and therefore miss the negative common target
continuous,188.7969753358332,18.132800011127117,0.0,0.0,0.0,0,defined; engine remains running,0.559342988331593,0.559342988331593,0.559342988331593,0.559342988331593,0.0,0.0,0.0,-4.689742503060938,4.689742503060938,physical,10.0,28.571428571428573,85.71428571428572,242.5,407.4,28.571428571428573,60.0,[],fixed actual post-crossing initial SoC; measured legacy 60 s battery-energy change is the common target; unchanged strategies report terminal-energy shortfall,0.559342988331593,0.11323323429424104,23.322138815724458,0.12353025663805735,-0.892095405536395,-0.005362215887560527,ideal_analytical_cycle,False,not energy-normalised: continuous and ideal cycling keep the battery neutral and therefore miss the negative common target
