direction,log_index,time_s,phase,start_soc,battery_bus_kw,current_magnitude_a,open_circuit_voltage_v,terminal_voltage_v,resistance_ohm,physical_current_limit_a,physical_current_margin_a,physical_current_limit_source,physical_terminal_voltage_limit_v,physical_voltage_margin_v,physical_voltage_limit_source,ocv_endpoint_difference_v,bus_power_proxy_limit_kw,bus_power_proxy_margin_kw
discharge,0,60.0,takeoff,1.0,23.573680691273694,59.37487368126767,400.0,397.0312563159366,0.05,,,"undefined: B-04 and BatteryPack expose a bus-power C-rate proxy, not a physical current limit",,,"undefined: B-03 v_min_v/v_max_v are open-circuit calibration endpoints, not terminal-voltage limits",97.03125631593662,30.0,6.426319308726306
discharge,1,120.0,takeoff,0.9653646570192606,23.567894822287364,59.88658555454776,396.5364657019261,393.5421364241987,0.05,,,"undefined: B-04 and BatteryPack expose a bus-power C-rate proxy, not a physical current limit",,,"undefined: B-03 v_min_v/v_max_v are open-circuit calibration endpoints, not terminal-voltage limits",93.5421364241987,30.0,6.432105177712636
discharge,2,180.0,climb,0.9304308154457743,30.0,77.0833882072526,393.04308154457743,389.1889121342148,0.05,,,"undefined: B-04 and BatteryPack expose a bus-power C-rate proxy, not a physical current limit",,,"undefined: B-03 v_min_v/v_max_v are open-circuit calibration endpoints, not terminal-voltage limits",89.18891213421477,30.0,0.0
discharge,3,240.0,climb,0.8854655056582104,30.0,77.99361532732974,388.546550565821,384.6468697994545,0.05,,,"undefined: B-04 and BatteryPack expose a bus-power C-rate proxy, not a physical current limit",,,"undefined: B-03 v_min_v/v_max_v are open-circuit calibration endpoints, not terminal-voltage limits",84.64686979945452,30.0,0.0
discharge,4,300.0,climb,0.8399692300506013,30.0,78.93696646452497,383.9969230050601,380.05007468183385,0.05,,,"undefined: B-04 and BatteryPack expose a bus-power C-rate proxy, not a physical current limit",,,"undefined: B-03 v_min_v/v_max_v are open-circuit calibration endpoints, not terminal-voltage limits",80.05007468183385,30.0,0.0
discharge,5,360.0,climb,0.7939226662796284,30.0,79.9155045053908,379.39226662796284,375.3964914026933,0.05,,,"undefined: B-04 and BatteryPack expose a bus-power C-rate proxy, not a physical current limit",,,"undefined: B-03 v_min_v/v_max_v are open-circuit calibration endpoints, not terminal-voltage limits",75.3964914026933,30.0,0.0
discharge,6,420.0,climb,0.7473052886514837,30.0,80.93147705570232,374.73052886514836,370.68395501236324,0.05,,,"undefined: B-04 and BatteryPack expose a bus-power C-rate proxy, not a physical current limit",,,"undefined: B-03 v_min_v/v_max_v are open-circuit calibration endpoints, not terminal-voltage limits",70.68395501236324,30.0,0.0
discharge,7,480.0,climb,0.7000952603689907,30.0,81.98733829078549,370.00952603689905,365.9101591223598,0.05,,,"undefined: B-04 and BatteryPack expose a bus-power C-rate proxy, not a physical current limit",,,"undefined: B-03 v_min_v/v_max_v are open-circuit calibration endpoints, not terminal-voltage limits",65.9101591223598,30.0,0.0
discharge,8,540.0,climb,0.6522693130326992,30.0,83.08577405346341,365.2269313032699,361.07264260059674,0.05,,,"undefined: B-04 and BatteryPack expose a bus-power C-rate proxy, not a physical current limit",,,"undefined: B-03 v_min_v/v_max_v are open-circuit calibration endpoints, not terminal-voltage limits",61.07264260059674,30.0,0.0
discharge,9,600.0,climb,0.6038026115015123,7.253768477917561,20.18462221934442,360.3802611501512,359.371030039184,0.05,,,"undefined: B-04 and BatteryPack expose a bus-power C-rate proxy, not a physical current limit",,,"undefined: B-03 v_min_v/v_max_v are open-circuit calibration endpoints, not terminal-voltage limits",59.37103003918401,30.0,22.74623152208244
discharge,10,660.0,climb,0.5920282485402281,7.539173523257986,21.050305756792227,359.2028248540228,358.1503095661832,0.05,,,"undefined: B-04 and BatteryPack expose a bus-power C-rate proxy, not a physical current limit",,,"undefined: B-03 v_min_v/v_max_v are open-circuit calibration endpoints, not terminal-voltage limits",58.15030956618318,30.0,22.460826476742014
discharge,11,720.0,climb,0.5797489035154326,7.826458258291808,21.930323675518366,357.97489035154325,356.87837416776733,0.05,,,"undefined: B-04 and BatteryPack expose a bus-power C-rate proxy, not a physical current limit",,,"undefined: B-03 v_min_v/v_max_v are open-circuit calibration endpoints, not terminal-voltage limits",56.87837416776733,30.0,22.173541741708192
discharge,12,780.0,climb,0.5669562147047136,8.11564180468784,22.82531961536563,356.69562147047134,355.5543554897031,0.05,,,"undefined: B-04 and BatteryPack expose a bus-power C-rate proxy, not a physical current limit",,,"undefined: B-03 v_min_v/v_max_v are open-circuit calibration endpoints, not terminal-voltage limits",55.554355489703084,30.0,21.88435819531216
discharge,13,840.0,climb,0.5536414449290836,8.406743983217254,23.73597318436282,355.3641444929084,354.17734583369025,0.05,,,"undefined: B-04 and BatteryPack expose a bus-power C-rate proxy, not a physical current limit",,,"undefined: B-03 v_min_v/v_max_v are open-circuit calibration endpoints, not terminal-voltage limits",54.177345833690254,30.0,21.593256016782746
discharge,14,900.0,climb,0.5397954605715386,8.699785327891007,24.663002736549515,353.97954605715387,352.7463959203264,0.05,,,"undefined: B-04 and BatteryPack expose a bus-power C-rate proxy, not a physical current limit",,,"undefined: B-03 v_min_v/v_max_v are open-circuit calibration endpoints, not terminal-voltage limits",52.74639592032639,30.0,21.300214672108993
discharge,15,960.0,climb,0.5254087089752181,8.994787100466368,25.6071684148128,352.5408708975218,351.2605124767812,0.05,,,"undefined: B-04 and BatteryPack expose a bus-power C-rate proxy, not a physical current limit",,,"undefined: B-03 v_min_v/v_max_v are open-circuit calibration endpoints, not terminal-voltage limits",51.26051247678117,30.0,21.005212899533632
discharge,16,1020.0,climb,0.5104711940665773,9.291771305334237,26.56927548957242,351.0471194066577,349.7186556321791,0.05,,,"undefined: B-04 and BatteryPack expose a bus-power C-rate proxy, not a physical current limit",,,"undefined: B-03 v_min_v/v_max_v are open-circuit calibration endpoints, not terminal-voltage limits",49.71865563217909,30.0,20.708228694665763
discharge,17,1080.0,climb,0.4949724500309933,9.590760704797631,27.550178028390636,349.49724500309935,348.1197361016798,0.05,,,"undefined: B-04 and BatteryPack expose a bus-power C-rate proxy, not a physical current limit",,,"undefined: B-03 v_min_v/v_max_v are open-circuit calibration endpoints, not terminal-voltage limits",48.11973610167979,30.0,20.40923929520237
